match_id,match_date,opponent,window_start,window_end,opponent_passes,sweden_defensive_actions,ppda
5674984,2025-02-25,Wales,0,15,49,44,1.1136363636363635
5674984,2025-02-25,Wales,10,25,23,33,0.696969696969697
5674984,2025-02-25,Wales,20,35,25,18,1.3888888888888888
5674984,2025-02-25,Wales,30,45,35,35,1.0
5674984,2025-02-25,Wales,40,55,2,9,0.2222222222222222
5674984,2025-02-25,Wales,80,95,10,15,0.6666666666666666
5674984,2025-02-25,Wales,90,105,28,28,1.0
5674984,2025-02-25,Wales,100,115,18,17,1.0588235294117647
5674984,2025-02-25,Wales,110,120,25,19,1.3157894736842106
5674984,2025-02-25,Wales,120,120,45,37,1.2162162162162162
5674984,2025-02-25,Wales,130,120,4,9,0.4444444444444444
5574544,2024-05-31,Republic of Ireland,0,15,34,51,0.6666666666666666
5574544,2024-05-31,Republic of Ireland,10,25,30,37,0.8108108108108109
5574544,2024-05-31,Republic of Ireland,20,35,26,34,0.7647058823529411
5574544,2024-05-31,Republic of Ireland,30,45,29,22,1.3181818181818181
5574544,2024-05-31,Republic of Ireland,40,55,11,6,1.8333333333333333
5574544,2024-05-31,Republic of Ireland,80,95,20,13,1.5384615384615385
5574544,2024-05-31,Republic of Ireland,90,105,32,34,0.9411764705882353
5574544,2024-05-31,Republic of Ireland,100,115,42,28,1.5
5574544,2024-05-31,Republic of Ireland,110,120,25,24,1.0416666666666667
5574544,2024-05-31,Republic of Ireland,120,120,16,30,0.5333333333333333
5574544,2024-05-31,Republic of Ireland,130,120,5,16,0.3125
5574528,2024-04-05,England,0,15,48,31,1.5483870967741935
5574528,2024-04-05,England,10,25,97,22,4.409090909090909
5574528,2024-04-05,England,20,35,37,26,1.4230769230769231
5574528,2024-04-05,England,30,45,80,33,2.4242424242424243
5574528,2024-04-05,England,40,55,28,9,3.111111111111111
5574528,2024-04-05,England,80,95,33,25,1.32
5574528,2024-04-05,England,90,105,56,37,1.5135135135135136
5574528,2024-04-05,England,100,115,42,25,1.68
5574528,2024-04-05,England,110,120,65,28,2.3214285714285716
5574528,2024-04-05,England,120,120,82,36,2.2777777777777777
5574528,2024-04-05,England,130,120,21,13,1.6153846153846154
5674976,2025-02-21,Denmark,0,15,111,49,2.2653061224489797
5674976,2025-02-21,Denmark,10,25,28,36,0.7777777777777778
5674976,2025-02-21,Denmark,20,35,68,35,1.9428571428571428
5674976,2025-02-21,Denmark,30,45,48,42,1.1428571428571428
5674976,2025-02-21,Denmark,40,55,4,2,2.0
5674976,2025-02-21,Denmark,80,95,15,10,1.5
5674976,2025-02-21,Denmark,90,105,57,33,1.7272727272727273
5674976,2025-02-21,Denmark,100,115,81,25,3.24
5674976,2025-02-21,Denmark,110,120,44,18,2.4444444444444446
5674976,2025-02-21,Denmark,120,120,60,22,2.727272727272727
5674976,2025-02-21,Denmark,130,120,27,19,1.4210526315789473
5674994,2025-04-04,Italy,0,15,61,32,1.90625
5674994,2025-04-04,Italy,10,25,29,29,1.0
5674994,2025-04-04,Italy,20,35,38,27,1.4074074074074074
5674994,2025-04-04,Italy,30,45,66,18,3.6666666666666665
5674994,2025-04-04,Italy,40,55,2,9,0.2222222222222222
5674994,2025-04-04,Italy,80,95,8,10,0.8
5674994,2025-04-04,Italy,90,105,17,14,1.2142857142857142
5674994,2025-04-04,Italy,100,115,44,25,1.76
5674994,2025-04-04,Italy,110,120,35,19,1.8421052631578947
5674994,2025-04-04,Italy,120,120,37,28,1.3214285714285714
5674994,2025-04-04,Italy,130,120,17,10,1.7
5574551,2024-06-04,Republic of Ireland,0,15,44,32,1.375
5574551,2024-06-04,Republic of Ireland,10,25,21,26,0.8076923076923077
5574551,2024-06-04,Republic of Ireland,20,35,14,25,0.56
5574551,2024-06-04,Republic of Ireland,30,45,10,21,0.47619047619047616
5574551,2024-06-04,Republic of Ireland,40,55,9,9,1.0
5574551,2024-06-04,Republic of Ireland,80,95,15,15,1.0
5574551,2024-06-04,Republic of Ireland,90,105,14,23,0.6086956521739131
5574551,2024-06-04,Republic of Ireland,100,115,23,26,0.8846153846153846
5574551,2024-06-04,Republic of Ireland,110,120,5,6,0.8333333333333334
5574551,2024-06-04,Republic of Ireland,120,120,20,25,0.8
5574551,2024-06-04,Republic of Ireland,130,120,11,10,1.1
